Afiliación,Nombre de Afiliación,Moneda,Tipo de Transacción,Número de Control,Número de Tarjeta,Tipo de Tarjeta,Monto de Transacción Signo,Monto de Disposición,Fecha Transacción,Diferimiento Inicial,Tipo de Plan,Número de Pagos,Código Autorización,Referencia,Referencia Interbancaria,Referencia Cliente 1,Referencia Cliente 2,Referencia Cliente 3,Terminal ID,Fecha Liberación,Fecha Aplicación,Fecha de Controversia,Fecha Retención,Giro Comisión,Importe Depósito,Total de IVA,Total de Comisiones,IVA de Pagos Diferidos,IVA de Disposición Pagado,IVA de Disposición Cobrado,Comisión de Disposición Pagado,Comisión de Disposición Cobrado,Comisión Pagos Diferidos,Validación 3D Secure,Conversión Global Banorte,Fuente de Transacción,Lote de Transacción, Hora de Transacción
07404315,TOTALGAS,MXP,1,534085660005169862940100049180,****************,Débito,491.8,0.0,07/12/2025,0,0,0,564920,731549845102,75445505341000874043152,,,,53408566,01/01/0001,08/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.39,-2.46,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,22:56:35
07981261,TOTAL GAS,MXP,1,529686850007813303841900066000,****************,Crédito,660.0,0.0,24/12/2025,0,0,0,152415,731588176870,74518995358000879812617,,,,52968685,01/01/0001,26/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.37,-8.58,0.0,0.0,0.0,0.0,0.0,0.0,,N,VISS,,18:34:23
09231577,GASOL VILLA,MXP,1,232139020009582862353200050000,****************,Crédito,500.0,0.0,18/12/2025,0,0,0,359152,821457661353,75445505352005092315775,,,,23213902,01/01/0001,19/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.96,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,15:47:24
09231577,GASOL VILLA,MXP,1,232139020002593150789400077419,****************,Débito,774.19,0.0,21/12/2025,0,0,0,000664,731580486469,74518995355003892315777,,,,23213902,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.99,-6.19,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,13:26:26
09662848,FORMULA GAS,MXP,1,458177080006535248035900015000,****************,Débito,150.0,0.0,22/12/2025,0,0,0,835876,731583039797,75445505356011996628483,,,,45817708,01/01/0001,23/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.26,-1.65,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,16:07:16
09662848,FORMULA GAS,MXP,1,458177100003995538124700100000,****************,Débito,1000.0,0.0,08/12/2025,0,0,0,377866,731550894847,75445505342009196628482,,,,45817710,01/01/0001,09/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.76,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,14:18:40
09231577,GASOL VILLA,MXP,1,232139020002744002958100120195,****************,Crédito,1201.95,0.0,21/12/2025,0,0,0,132813,821461017438,75445505355005092315772,,,,23213902,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-2.31,-14.42,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,15:35:39
09662848,FORMULA GAS,MXP,1,458177080002533353399600120000,****************,Débito,1200.0,0.0,10/12/2025,0,0,0,041397,731554716048,75445505344005496628485,,,,45817708,01/01/0001,11/12/2025,01/01/0001,01/01/0001,5541,0.0,-2.11,-13.2,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,10:04:13
09662848,FORMULA GAS,MXP,1,458177080007140792499500050000,****************,Débito,500.0,0.0,05/12/2025,0,0,0,862124,731545322831,75445505339020696628489,,,,45817708,01/01/0001,08/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.88,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,21:30:06
07404315,TOTALGAS,MXP,1,534085660008345614086700020000,****************,Débito,200.0,0.0,21/12/2025,0,0,0,607269,731581127406,74518995355000874043153,,,,53408566,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,17:38:57
09231577,GASOL VILLA,MXP,1,232139020004810072601000046580,****************,Débito,465.8,0.0,13/12/2025,0,0,0,034873,731562734579,74518995347006992315770,,,,23213902,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-2.31,-14.44,0.0,0.0,0.0,0.0,0.0,0.0,,N,VISA,,15:39:50
09662848,FORMULA GAS,MXP,1,458177080001368165630400030000,****************,Débito,300.0,0.0,18/12/2025,0,0,0,103654,731572766077,74518995352000696628481,,,,45817708,01/01/0001,19/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.53,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,06:38:06
07539310,TOTAL GAS,MXP,1,535529170003475367976800020000,****************,Débito,200.0,0.0,27/12/2025,0,0,0,404556,731592623507,74590385361994116525018,,,,53552917,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.32,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,16:30:45
09231577,GASOL VILLA,MXP,1,232139020001941196330500050000,****************,Crédito,500.0,0.0,20/12/2025,0,0,0,085778,731578609470,75445505354007292315777,,,,23213902,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.96,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,14:48:57
09662848,FORMULA GAS,MXP,1,458177080005546129837200050000,****************,Crédito,500.0,0.0,12/12/2025,0,0,0,476641,731560259907,75445505346014896628481,,,,45817708,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.96,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,15:14:20
09662848,FORMULA GAS,MXP,1,458177080002474008790700025000,****************,Débito,250.0,0.0,10/12/2025,0,0,0,804395,731554552793,74518995344001896628488,,,,45817708,01/01/0001,11/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.44,-2.75,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,08:23:14
09662848,FORMULA GAS,MXP,1,458177100005465334646600050000,****************,Crédito,500.0,0.0,10/12/2025,0,0,0,007086,731554538695,75445505344004596628487,,,,45817710,01/01/0001,11/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.96,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,08:12:34
09231577,GASOL VILLA,MXP,1,232139020001862976872300046580,****************,Débito,465.8,0.0,20/12/2025,0,0,0,384168,731578378508,74518995354005292315779,,,,23213902,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.6,-3.73,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,13:34:23
07404295,TOTALGAS,MXP,1,533980700004594781623000050000,****************,Débito,500.0,0.0,13/12/2025,0,0,0,014614,731562766761,75445505347001574042951,,,,53398070,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.88,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,15:51:45
09662848,FORMULA GAS,MXP,1,458177080004175515761400023790,****************,Débito,237.9,0.0,30/12/2025,0,0,0,457864,731596842901,74518995364000196628482,,,,45817708,01/01/0001,31/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.42,-2.62,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,00:17:35
09636630,TOTALGAS,MXP,1,513696190005785183639600124823,****************,Crédito,1248.23,0.0,28/12/2025,0,0,0,906651,731594890178,74518995363000296366307,,,,51369619,01/01/0001,30/12/2025,01/01/0001,01/01/0001,5541,0.0,-2.2,-13.73,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,23:11:29
09662848,FORMULA GAS,MXP,1,458177080006031627348700023790,****************,Débito,237.9,0.0,04/12/2025,0,0,0,000761,731542973901,74518995338018996628489,,,,45817708,01/01/0001,05/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.42,-2.62,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,22:36:37
09231577,GASOL VILLA,MXP,1,232139020005450429279300050004,****************,Débito,500.04,0.0,26/12/2025,0,0,0,356576,731590214954,74518995360001392315779,,,,23213902,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.64,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,13:26:53
09231577,GASOL VILLA,MXP,1,232139020007467592065600025000,****************,Débito,250.0,0.0,28/12/2025,0,0,0,045865,731594756683,75445505362010492315779,,,,23213902,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.32,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,20:44:58
07404328,TOTALGAS,MXP,1,534116340006070161724600005000,****************,Débito,50.0,0.0,06/12/2025,0,0,0,111797,731547823515,75445505340000974043285,,,,53411634,01/01/0001,08/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.09,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,22:12:43
09662848,FORMULA GAS,MXP,1,458177080002165515761400023790,****************,Débito,237.9,0.0,28/12/2025,0,0,0,355030,731593389939,74518995362001296628481,,,,45817708,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.42,-2.62,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,03:10:18
08660455,DIAZ GAS SA CV,MXP,1,375835790008624893105100050000,****************,Débito,500.0,0.0,27/12/2025,0,0,0,060220,731591493215,75445505361000586604551,,,,37583579,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.64,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,02:33:43
07404315,TOTALGAS,MXP,1,534085660007591839400100047788,****************,Débito,477.88,0.0,18/12/2025,0,0,0,369196,731573471598,74518995352000374043151,,,,53408566,01/01/0001,19/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.38,-2.39,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,13:08:23
09662848,FORMULA GAS,MXP,1,458177090006893359981000068738,****************,Débito,687.38,0.0,22/12/2025,0,0,0,449236,821461966009,74518995356008896628488,,,,45817709,01/01/0001,23/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.21,-7.56,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,14:25:13
07404315,TOTALGAS,MXP,1,534085660006252384590100020000,****************,Débito,200.0,0.0,12/12/2025,0,0,0,944527,731559189809,75445505346000274043153,,,,53408566,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,07:13:41
07539310,TOTAL GAS,MXP,1,535529170009155710748700011500,****************,Débito,115.0,0.0,03/12/2025,0,0,0,664723,731539098139,74590385337013991817167,,,,53552917,01/01/0001,04/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.18,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,12:02:08
09662848,FORMULA GAS,MXP,1,458177080005875730059100030000,****************,Débito,300.0,0.0,04/12/2025,0,0,0,387313,731542713215,75445505338017896628484,,,,45817708,01/01/0001,05/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.53,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,20:05:44
07539310,TOTAL GAS,MXP,1,535529170003750447095900050000,****************,Débito,500.0,0.0,29/12/2025,0,0,0,219269,731595748270,74518995363000375393107,,,,53552917,01/01/0001,30/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.8,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,14:13:55
07539310,TOTAL GAS,MXP,1,535529170003664249689700100000,****************,Débito,1000.0,0.0,28/12/2025,0,0,0,005713,731594414257,75445505362000375393100,,,,53552917,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.6,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,17:20:57
09662848,FORMULA GAS,MXP,1,458177090003010917139000023790,****************,Débito,237.9,0.0,16/12/2025,0,0,0,510818,731568392439,75445505350005096628480,,,,45817709,01/01/0001,17/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.42,-2.62,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,10:23:48
09662848,FORMULA GAS,MXP,1,458177090007973403305600050000,****************,Crédito,500.0,0.0,07/12/2025,0,0,0,470744,731548499666,75445505341007796628481,,,,45817709,01/01/0001,08/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.96,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,12:17:06
07404295,TOTALGAS,MXP,1,911023850006429511438800056970,****************,Débito,569.7,0.0,07/12/2025,0,0,0,083315,731549543706,74518995341002374042955,,,,91102385,01/01/0001,08/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.0,-6.27,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,19:29:50
09662848,FORMULA GAS,MXP,1,458177100005145322340900030000,****************,Débito,300.0,0.0,24/12/2025,0,0,0,165502,731586817068,74518995358002396628484,,,,45817710,01/01/0001,26/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.53,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,10:18:02
09662848,FORMULA GAS,MXP,1,458177100001593120897900050000,****************,Crédito,500.0,0.0,05/12/2025,0,0,0,207704,731543548658,74518995339004796628480,,,,45817710,01/01/0001,08/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.96,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,10:29:23
09662848,FORMULA GAS,MXP,1,458177080008368318007700030000,****************,Crédito,300.0,0.0,24/12/2025,0,0,0,LULFER,731586756093,74518995358003896628487,,,,45817708,01/01/0001,26/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.58,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,,N,VISS,,09:48:24
09231577,GASOL VILLA,MXP,1,232139020003199204763000030000,****************,Débito,300.0,0.0,21/12/2025,0,0,0,000571,731581520910,74518995355009492315778,,,,23213902,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.38,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,21:04:07
09231577,GASOL VILLA,MXP,1,232139020005629287347500010000,****************,Débito,100.0,0.0,14/12/2025,0,0,0,030653,821452612677,75445505348004192315774,,,,23213902,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.13,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,12:23:05
07404328,TOTALGAS,MXP,1,534116340008779324932400100000,****************,Débito,1000.0,0.0,23/12/2025,0,0,0,000218,821463161008,74518995357002274043286,,,,53411634,01/01/0001,24/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.76,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,14:54:44
09662848,FORMULA GAS,MXP,1,458177080005950296812300050000,****************,Débito,500.0,0.0,22/12/2025,0,0,0,035906,731581831365,74518995356001096628481,,,,45817708,01/01/0001,23/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.88,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,07:17:08
09662848,FORMULA GAS,MXP,1,458177100004737740101900041264,****************,Débito,412.64,0.0,23/12/2025,0,0,0,054344,731585721803,74518995357012896628489,,,,45817710,01/01/0001,24/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.73,-4.54,0.0,0.0,0.0,0.0,0.0,0.0,1,N,PRO1,,17:39:52
07404315,TOTALGAS,MXP,1,534085660008075831196200600000,****************,Débito,6000.0,0.0,20/12/2025,0,0,0,002109,821459982921,74518995354001474043156,,,,53408566,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-4.8,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,14:52:57
09231577,GASOL VILLA,MXP,1,232139020009254631656300093160,****************,Débito,931.6,0.0,03/12/2025,0,0,0,277448,731539207138,74518995337002592315775,,,,23213902,01/01/0001,04/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.19,-7.45,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,12:44:42
07404295,TOTALGAS,MXP,1,911023850006969864207900020000,****************,Débito,200.0,0.0,15/12/2025,0,0,0,000217,731565730397,74518995349000174042953,,,,91102385,01/01/0001,16/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.35,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,04:37:34
09231577,GASOL VILLA,MXP,1,232139020000717941008000125896,****************,Crédito,1258.96,0.0,19/12/2025,0,0,0,01787D,731576373616,74518995353005392315779,,,,23213902,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-6.24,-39.03,0.0,0.0,0.0,0.0,0.0,0.0,,N,VISA,,15:47:25
09662848,FORMULA GAS,MXP,1,458177100006992049347700020000,****************,Débito,200.0,0.0,12/12/2025,0,0,0,761570,731559158698,74518995346001496628480,,,,45817710,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.35,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,06:23:25
09231577,GASOL VILLA,MXP,1,232139020004057120978600150000,****************,Débito,1500.0,0.0,13/12/2025,0,0,0,755724,731561565524,74518995347000592315777,,,,23213902,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.92,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,06:43:40
07404315,TOTALGAS,MXP,1,534085660006906246525400354200,****************,Débito,3542.0,0.0,15/12/2025,0,0,0,115253,731566184467,75445505349000874043154,,,,53408566,01/01/0001,16/12/2025,01/01/0001,01/01/0001,5541,0.0,-2.83,-17.71,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,11:27:39
07404295,TOTALGAS,MXP,1,515857690006947388117800047575,****************,Débito,475.75,0.0,31/12/2025,0,0,0,001240,731600202301,74518995365002474042955,,,,51585769,01/01/0001,02/01/2026,01/01/0001,01/01/0001,5541,0.0,-0.84,-5.23,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,15:30:36
09231577,GASOL VILLA,MXP,1,232139020002673359941400050000,****************,Débito,500.0,0.0,11/12/2025,0,0,0,080078,731557528581,74518995345001692315776,,,,23213902,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.64,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,13:24:46
07404315,TOTALGAS,MXP,1,534085660007114439006500030000,****************,Débito,300.0,0.0,16/12/2025,0,0,0,401228,731567974939,74518995350000274043154,,,,53408566,01/01/0001,17/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.24,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,00:20:23
09231577,GASOL VILLA,MXP,1,232139020006349029384800030000,****************,Débito,300.0,0.0,27/12/2025,0,0,0,000201,731593288911,74518995361005092315772,,,,23213902,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.38,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,23:00:25
09662848,FORMULA GAS,MXP,1,458177080008865636389000035000,****************,Débito,350.0,0.0,24/12/2025,0,0,0,006984,731588042196,75445505358014096628484,,,,45817708,01/01/0001,26/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.62,-3.85,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,17:31:21
07404328,TOTALGAS,MXP,1,534116340009493801024600050000,****************,Débito,500.0,0.0,27/12/2025,0,0,0,000231,731593307234,74518995362000174043284,,,,53411634,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.88,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,23:28:13
09662848,FORMULA GAS,MXP,1,458177080004805080802600108742,****************,Crédito,1087.42,0.0,03/12/2025,0,0,0,423279,731540438283,75445505337018096628481,,,,45817708,01/01/0001,04/12/2025,01/01/0001,01/01/0001,5541,0.0,-2.09,-13.05,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,20:31:09
09231577,GASOL VILLA,MXP,1,232139020009872204079000046580,****************,Débito,465.8,0.0,18/12/2025,0,0,0,617884,731574565882,74518995352007392315776,,,,23213902,01/01/0001,19/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.6,-3.73,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,19:23:23
09662848,FORMULA GAS,MXP,1,458177080006663956549700020000,****************,Débito,200.0,0.0,22/12/2025,0,0,0,049193,731583464035,75445505356016296628489,,,,45817708,01/01/0001,23/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.35,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,18:25:59
09662848,FORMULA GAS,MXP,1,458177100002659960235000030000,****************,Débito,300.0,0.0,06/12/2025,0,0,0,745489,821443635553,74518995340009996628484,,,,45817710,01/01/0001,08/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.53,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,13:42:32
09662848,FORMULA GAS,MXP,1,458177100001170988202600017000,****************,Débito,170.0,0.0,18/12/2025,0,0,0,074479,731572762047,74518995352000596628482,,,,45817710,01/01/0001,19/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.3,-1.87,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,06:30:10
09662848,FORMULA GAS,MXP,1,458177090003136148052100030000,****************,Débito,300.0,0.0,16/12/2025,0,0,0,263533,731568578664,74518995350006496628482,,,,45817709,01/01/0001,17/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.53,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,11:46:07
09231577,GASOL VILLA,MXP,1,232139020001420284272400075010,****************,Crédito,750.1,0.0,08/12/2025,0,0,0,094283,731550838723,75445505342002392315772,,,,23213902,01/01/0001,09/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.44,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,13:59:41
08660455,DIAZ GAS SA CV,MXP,1,375835790005090147909000040000,****************,Crédito,400.0,0.0,03/12/2025,0,0,0,095379,731538957988,75445505337000586604552,,,,37583579,01/01/0001,04/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.77,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,11:03:17
09662848,FORMULA GAS,MXP,1,458177090000435559083500050000,****************,Débito,500.0,0.0,30/12/2025,0,0,0,079166,731597832977,74518995364008396628483,,,,45817709,01/01/0001,31/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.88,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,14:47:21
09662848,FORMULA GAS,MXP,1,458177090002897800592500087197,****************,Crédito,871.97,0.0,16/12/2025,0,0,0,101556,731568181192,74518995350004196628480,,,,45817709,01/01/0001,17/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.67,-10.46,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,08:12:51
09662848,FORMULA GAS,MXP,1,458177090006043879786200070000,****************,Crédito,700.0,0.0,20/12/2025,0,0,0,012285,821460359089,75445505354019996628488,,,,45817709,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.34,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,,N,MCCC,,20:05:05
